asset_id,ticker,company_name,country,isin,wikidata_qid,fetch_status,fetch_reason,industries,non_official_source_caveat,phase,created_at_utc
U36902,HLG,HIGHLIGHT CMNCTS,CH,CH0006539198,Q1617972,no_industry,wikidata_item_has_no_industry_property,,"Sourced from Wikidata (query.wikidata.org), a community-edited, non-profit open database -- NOT an official government registry like Companies House or SIRENE. Verify manually before relying on it for any conclusion.",v2.38AR-europe-wikidata-sector,2026-09-06T14:54:54Z
U36903,ZFIN,ZURICH INSUR.GR.,CH,CH0011075394,Q230426,resolved,single_wikidata_item_matched,insurance,"Sourced from Wikidata (query.wikidata.org), a community-edited, non-profit open database -- NOT an official government registry like Companies House or SIRENE. Verify manually before relying on it for any conclusion.",v2.38AR-europe-wikidata-sector,2026-09-06T14:54:54Z
U36904,NOT,NOVARTIS,CH,CH0012005267,Q507154,resolved,single_wikidata_item_matched,chemical industry;pharmaceutical industry,"Sourced from Wikidata (query.wikidata.org), a community-edited, non-profit open database -- NOT an official government registry like Companies House or SIRENE. Verify manually before relying on it for any conclusion.",v2.38AR-europe-wikidata-sector,2026-09-06T14:54:54Z
U36905,RHO,ROCHE HLDG AG,CH,CH0012032113,Q25463170,no_industry,wikidata_item_has_no_industry_property,,"Sourced from Wikidata (query.wikidata.org), a community-edited, non-profit open database -- NOT an official government registry like Companies House or SIRENE. Verify manually before relying on it for any conclusion.",v2.38AR-europe-wikidata-sector,2026-09-06T14:54:54Z
U36906,ADI1,ADECCO GROUP AG N.,CH,CH0012138605,Q353494,resolved,single_wikidata_item_matched,employment services industry;human resource management,"Sourced from Wikidata (query.wikidata.org), a community-edited, non-profit open database -- NOT an official government registry like Companies House or SIRENE. Verify manually before relying on it for any conclusion.",v2.38AR-europe-wikidata-sector,2026-09-06T14:54:54Z
U36907,HLBN,HOLCIM LTD.,CH,CH0012214059,Q16466481,no_industry,wikidata_item_has_no_industry_property,,"Sourced from Wikidata (query.wikidata.org), a community-edited, non-profit open database -- NOT an official government registry like Companies House or SIRENE. Verify manually before relying on it for any conclusion.",v2.38AR-europe-wikidata-sector,2026-09-06T14:54:54Z
U36908,ABJ,ABB LTD.,CH,CH0012221716,Q52825,resolved,single_wikidata_item_matched,electrical engineering;robotics,"Sourced from Wikidata (query.wikidata.org), a community-edited, non-profit open database -- NOT an official government registry like Companies House or SIRENE. Verify manually before relying on it for any conclusion.",v2.38AR-europe-wikidata-sector,2026-09-06T14:54:54Z
U36909,P2H,PARTNERS GR.HLDG,CH,CH0024608827,Q684222,no_industry,wikidata_item_has_no_industry_property,,"Sourced from Wikidata (query.wikidata.org), a community-edited, non-profit open database -- NOT an official government registry like Companies House or SIRENE. Verify manually before relying on it for any conclusion.",v2.38AR-europe-wikidata-sector,2026-09-06T14:54:54Z
U36910,KNIA,KUEHNE + NAGEL INTL,CH,CH0025238863,Q671267,resolved,single_wikidata_item_matched,freight transport;logistics;transport,"Sourced from Wikidata (query.wikidata.org), a community-edited, non-profit open database -- NOT an official government registry like Companies House or SIRENE. Verify manually before relying on it for any conclusion.",v2.38AR-europe-wikidata-sector,2026-09-06T14:54:54Z
U36911,LTEC,LOGITECH INTL,CH,CH0025751329,Q223127,resolved,single_wikidata_item_matched,computer hardware industry;consumer electronics industry;electronics industry;software industry,"Sourced from Wikidata (query.wikidata.org), a community-edited, non-profit open database -- NOT an official government registry like Companies House or SIRENE. Verify manually before relying on it for any conclusion.",v2.38AR-europe-wikidata-sector,2026-09-06T14:54:54Z
U36912,GBRA,GEBERIT AG NA DISP.,CH,CH0030170408,Q464905,resolved,single_wikidata_item_matched,plumbing,"Sourced from Wikidata (query.wikidata.org), a community-edited, non-profit open database -- NOT an official government registry like Companies House or SIRENE. Verify manually before relying on it for any conclusion.",v2.38AR-europe-wikidata-sector,2026-09-06T14:54:54Z
U36913,BBZA,BB BIOTECH,CH,CH0038389992,Q654950,no_industry,wikidata_item_has_no_industry_property,,"Sourced from Wikidata (query.wikidata.org), a community-edited, non-profit open database -- NOT an official government registry like Companies House or SIRENE. Verify manually before relying on it for any conclusion.",v2.38AR-europe-wikidata-sector,2026-09-06T14:54:54Z
U36914,NESR,NESTLE,CH,CH0038863350,Q160746,resolved,single_wikidata_item_matched,food industry,"Sourced from Wikidata (query.wikidata.org), a community-edited, non-profit open database -- NOT an official government registry like Companies House or SIRENE. Verify manually before relying on it for any conclusion.",v2.38AR-europe-wikidata-sector,2026-09-06T14:54:54Z
U36915,SQL,MATADOR SECONDARY PR.,CH,CH0042797206,,no_wikidata_match,isin_not_found_on_wikidata,,"Sourced from Wikidata (query.wikidata.org), a community-edited, non-profit open database -- NOT an official government registry like Companies House or SIRENE. Verify manually before relying on it for any conclusion.",v2.38AR-europe-wikidata-sector,2026-09-06T14:54:54Z
U36916,AEX,CHUBB LTD.,CH,CH0044328745,,ambiguous,multiple_distinct_wikidata_items_share_isin,,"Sourced from Wikidata (query.wikidata.org), a community-edited, non-profit open database -- NOT an official government registry like Companies House or SIRENE. Verify manually before relying on it for any conclusion.",v2.38AR-europe-wikidata-sector,2026-09-06T14:54:54Z
U36917,SR9,SWISS RE AG,CH,CH0126881561,Q605565,resolved,single_wikidata_item_matched,insurance,"Sourced from Wikidata (query.wikidata.org), a community-edited, non-profit open database -- NOT an official government registry like Companies House or SIRENE. Verify manually before relying on it for any conclusion.",v2.38AR-europe-wikidata-sector,2026-09-06T14:54:54Z
U36918,0UB,UBS GROUP AG,CH,CH0244767585,Q193199,resolved,single_wikidata_item_matched,"economics of banking;financial sector;financial service activities, except insurance and pension funding;financial services","Sourced from Wikidata (query.wikidata.org), a community-edited, non-profit open database -- NOT an official government registry like Companies House or SIRENE. Verify manually before relying on it for any conclusion.",v2.38AR-europe-wikidata-sector,2026-09-06T14:54:54Z
U36919,ED4,EDAG ENGINEERING G.,CH,CH0303692047,Q265529,resolved,single_wikidata_item_matched,development service provider,"Sourced from Wikidata (query.wikidata.org), a community-edited, non-profit open database -- NOT an official government registry like Companies House or SIRENE. Verify manually before relying on it for any conclusion.",v2.38AR-europe-wikidata-sector,2026-09-06T14:54:54Z
U36920,SIKA,SIKA AG,CH,CH0418792922,Q691382,resolved,single_wikidata_item_matched,chemical industry;construction,"Sourced from Wikidata (query.wikidata.org), a community-edited, non-profit open database -- NOT an official government registry like Companies House or SIRENE. Verify manually before relying on it for any conclusion.",v2.38AR-europe-wikidata-sector,2026-09-06T14:54:54Z
U36921,2U3,ALCON AG,CH,CH0432492467,Q684825,resolved,single_wikidata_item_matched,pharmaceutical industry,"Sourced from Wikidata (query.wikidata.org), a community-edited, non-profit open database -- NOT an official government registry like Companies House or SIRENE. Verify manually before relying on it for any conclusion.",v2.38AR-europe-wikidata-sector,2026-09-06T14:54:54Z
U36922,81D,SWISSNET AG,CH,CH0451123589,,no_wikidata_match,isin_not_found_on_wikidata,,"Sourced from Wikidata (query.wikidata.org), a community-edited, non-profit open database -- NOT an official government registry like Companies House or SIRENE. Verify manually before relying on it for any conclusion.",v2.38AR-europe-wikidata-sector,2026-09-06T14:54:54Z
U36923,VXT,VIDINEXT AG      N.,CH,CH0557519201,Q112134512,no_industry,wikidata_item_has_no_industry_property,,"Sourced from Wikidata (query.wikidata.org), a community-edited, non-profit open database -- NOT an official government registry like Companies House or SIRENE. Verify manually before relying on it for any conclusion.",v2.38AR-europe-wikidata-sector,2026-09-06T14:54:54Z
U36924,LMIA,LION E-MOBILITY AG,CH,CH0560888270,,no_wikidata_match,isin_not_found_on_wikidata,,"Sourced from Wikidata (query.wikidata.org), a community-edited, non-profit open database -- NOT an official government registry like Companies House or SIRENE. Verify manually before relying on it for any conclusion.",v2.38AR-europe-wikidata-sector,2026-09-06T14:54:54Z
U36925,RET,REALUNIT SCHWEIZ AG,CH,CH1129911108,,no_wikidata_match,isin_not_found_on_wikidata,,"Sourced from Wikidata (query.wikidata.org), a community-edited, non-profit open database -- NOT an official government registry like Companies House or SIRENE. Verify manually before relying on it for any conclusion.",v2.38AR-europe-wikidata-sector,2026-09-06T14:54:54Z
U36926,49G,ON HOLDING AG A,CH,CH1134540470,Q114422270,resolved,single_wikidata_item_matched,retail,"Sourced from Wikidata (query.wikidata.org), a community-edited, non-profit open database -- NOT an official government registry like Companies House or SIRENE. Verify manually before relying on it for any conclusion.",v2.38AR-europe-wikidata-sector,2026-09-06T14:54:54Z
U36927,QS51,STRAUMANN HLDG,CH,CH1175448666,,no_wikidata_match,isin_not_found_on_wikidata,,"Sourced from Wikidata (query.wikidata.org), a community-edited, non-profit open database -- NOT an official government registry like Companies House or SIRENE. Verify manually before relying on it for any conclusion.",v2.38AR-europe-wikidata-sector,2026-09-06T14:54:54Z
U36928,ZX6,DSM-FIRMENICH AG,CH,CH1216478797,Q120091633,resolved,single_wikidata_item_matched,chemical industry;health care industry,"Sourced from Wikidata (query.wikidata.org), a community-edited, non-profit open database -- NOT an official government registry like Companies House or SIRENE. Verify manually before relying on it for any conclusion.",v2.38AR-europe-wikidata-sector,2026-09-06T14:54:54Z
U36929,Q23,BUNGE GLOBAL S.A.,CH,CH1300646267,,no_wikidata_match,isin_not_found_on_wikidata,,"Sourced from Wikidata (query.wikidata.org), a community-edited, non-profit open database -- NOT an official government registry like Companies House or SIRENE. Verify manually before relying on it for any conclusion.",v2.38AR-europe-wikidata-sector,2026-09-06T14:54:54Z
U36930,MULT,MULTITUDE AG,CH,CH1398992755,Q11859513,no_industry,wikidata_item_has_no_industry_property,,"Sourced from Wikidata (query.wikidata.org), a community-edited, non-profit open database -- NOT an official government registry like Companies House or SIRENE. Verify manually before relying on it for any conclusion.",v2.38AR-europe-wikidata-sector,2026-09-06T14:54:54Z
