asset_id,ticker,theme_id,note_type,note,confidence_level,source_policy,phase
U00006,AAL,INTEREST_RATES,MACRO_RISK,"Higher or volatile interest rates can affect discount rates, financing costs and risk appetite worldwide.",MEDIUM,OFFLINE_STATIC_NO_LIVE_NEWS,v2.38AM-global-macro-geopolitical-context
U00006,AAL,INFLATION,MACRO_RISK,Inflation can pressure input costs and consumer demand while helping some pricing-power businesses.,MEDIUM,OFFLINE_STATIC_NO_LIVE_NEWS,v2.38AM-global-macro-geopolitical-context
U00006,AAL,USD_STRENGTH,MACRO_RISK,A stronger dollar can pressure foreign-revenue translation for non-US exporters and help import-heavy cost bases.,LOW,OFFLINE_STATIC_NO_LIVE_NEWS,v2.38AM-global-macro-geopolitical-context
U00006,AAL,SMALL_CAP_LIQUIDITY,MACRO_RISK,Smaller and less liquid equities can be more sensitive to risk appetite and financing conditions.,MEDIUM,OFFLINE_STATIC_NO_LIVE_NEWS,v2.38AM-global-macro-geopolitical-context
U00006,AAL,,EVIDENCE_LIMITATION,No sector-specific theme was inferred from available text; only general macro themes and any country-specific structural themes were applied.,MEDIUM,OFFLINE_STATIC_NO_LIVE_NEWS,v2.38AM-global-macro-geopolitical-context
U00006,AAL,,LANGUAGE_GUARDRAIL,Static context only; no final action language or external event claim is generated.,HIGH,OFFLINE_STATIC_NO_LIVE_NEWS,v2.38AM-global-macro-geopolitical-context
U00007,AAME,INTEREST_RATES,MACRO_RISK,"Higher or volatile interest rates can affect discount rates, financing costs and risk appetite worldwide.",MEDIUM,OFFLINE_STATIC_NO_LIVE_NEWS,v2.38AM-global-macro-geopolitical-context
U00007,AAME,INFLATION,MACRO_RISK,Inflation can pressure input costs and consumer demand while helping some pricing-power businesses.,MEDIUM,OFFLINE_STATIC_NO_LIVE_NEWS,v2.38AM-global-macro-geopolitical-context
U00007,AAME,USD_STRENGTH,MACRO_RISK,A stronger dollar can pressure foreign-revenue translation for non-US exporters and help import-heavy cost bases.,LOW,OFFLINE_STATIC_NO_LIVE_NEWS,v2.38AM-global-macro-geopolitical-context
U00007,AAME,SMALL_CAP_LIQUIDITY,MACRO_RISK,Smaller and less liquid equities can be more sensitive to risk appetite and financing conditions.,MEDIUM,OFFLINE_STATIC_NO_LIVE_NEWS,v2.38AM-global-macro-geopolitical-context
