country,FUNDAMENTALS_PARTIAL_NO_GROWTH_YET,FUNDAMENTALS_READY_NO_GROWTH_YET,GROWTH_PARTIAL,GROWTH_READY,IDENTITY_ONLY_FUNDAMENTALS_BLOCKED_REAL_REASON_CONFIRMED,IDENTITY_ONLY_NOT_AN_OPERATING_COMPANY,IDENTITY_ONLY_NO_FUNDAMENTALS_YET,IDENTITY_ONLY_NO_PUBLIC_DISCLOSURE_REQUIRED,NO_DATA_YET
,14,0,220,297,0,0,7,0,17388
USA,34,8,383,111,0,0,19,0,8645
JP,0,0,0,0,0,0,3,0,3705
Hong Kong,0,0,0,0,0,0,0,0,3200
India,0,0,0,0,0,0,0,0,2013
Australia,0,0,0,0,0,0,0,0,1316
GB,0,1,0,0,0,0,830,0,0
US,0,0,0,0,0,0,90,0,700
Taiwan,0,0,0,0,0,0,0,0,696
DE,0,0,0,0,0,0,603,0,0
Singapore,0,0,0,0,0,0,0,0,358
FR,0,0,0,0,0,0,346,0,0
SE,0,0,0,0,0,0,323,0,0
CH,0,0,0,0,0,0,188,0,0
NO,0,0,0,0,0,0,169,0,0
FI,0,0,0,0,127,0,11,0,0
DK,0,0,0,0,0,0,112,0,0
CA,0,0,0,0,0,0,96,0,8
KY,0,0,0,0,0,0,0,100,1
BE,0,0,0,0,0,0,91,0,0
BM,0,0,0,0,0,0,0,74,0
ES,0,0,0,0,0,0,73,0,0
CN,0,0,0,0,0,0,63,0,1
GG,0,0,0,0,0,0,0,63,0
AT,0,0,8,9,40,0,3,0,0
IE,0,0,0,0,0,0,51,0,0
NL,0,0,0,0,0,0,51,0,0
JE,0,0,0,0,0,0,45,0,0
LU,19,7,0,0,0,6,13,0,0
AU,0,0,0,0,0,0,37,0,1
ZA,0,0,0,0,0,0,37,0,0
RO,0,0,0,0,0,0,36,0,0
IT,0,0,0,0,0,0,35,0,0
HK,0,0,0,0,0,0,30,0,0
CY,0,0,0,0,0,0,28,0,0
VG,0,0,0,0,0,0,0,24,0
Colombia,0,0,0,0,0,0,0,0,23
