asset_id,ticker,feature,reason,available_rows,required_rows,phase
U00027,ACCL,return_12m,insufficient_or_missing_price_evidence,219,253,v2.38H
U00027,ACCL,max_drawdown_12m,insufficient_or_missing_price_evidence,219,252,v2.38H
U00099,AHMA,return_12m,insufficient_or_missing_price_evidence,217,253,v2.38H
U00099,AHMA,max_drawdown_12m,insufficient_or_missing_price_evidence,217,252,v2.38H
U00273,ATCX,return_12m,insufficient_or_missing_price_evidence,162,253,v2.38H
U00273,ATCX,price_vs_sma_200,insufficient_or_missing_price_evidence,162,200,v2.38H
U00273,ATCX,sma_50_vs_sma_200,insufficient_or_missing_price_evidence,162,200,v2.38H
U00273,ATCX,max_drawdown_12m,insufficient_or_missing_price_evidence,162,252,v2.38H
U00409,BLLN,return_12m,insufficient_or_missing_price_evidence,205,253,v2.38H
U00409,BLLN,max_drawdown_12m,insufficient_or_missing_price_evidence,205,252,v2.38H
U00543,CCC,return_12m,insufficient_or_missing_price_evidence,215,253,v2.38H
U00543,CCC,max_drawdown_12m,insufficient_or_missing_price_evidence,215,252,v2.38H
