asset_id,ticker,exchange,provider_symbol,resolution_status,evidence_source
U33161,130A,JPX,130A0,EXACT_COMPANY_NAME_MATCH,J-Quants equities master
U33162,1332,JPX,13320,EXACT_COMPANY_NAME_MATCH,J-Quants equities master
U33163,1333,JPX,13330,EXACT_COMPANY_NAME_MATCH,J-Quants equities master
U33164,135A,JPX,135A0,EXACT_COMPANY_NAME_MATCH,J-Quants equities master
U33165,1375,JPX,13750,EXACT_COMPANY_NAME_MATCH,J-Quants equities master
U33166,1376,JPX,13760,EXACT_COMPANY_NAME_MATCH,J-Quants equities master
U33167,1377,JPX,13770,EXACT_COMPANY_NAME_MATCH,J-Quants equities master
U33168,1379,JPX,13790,EXACT_COMPANY_NAME_MATCH,J-Quants equities master
U33169,137A,JPX,137A0,EXACT_COMPANY_NAME_MATCH,J-Quants equities master
U33170,1380,JPX,13800,EXACT_COMPANY_NAME_MATCH,J-Quants equities master
U33171,1381,JPX,13810,EXACT_COMPANY_NAME_MATCH,J-Quants equities master
U33172,1382,JPX,13820,EXACT_COMPANY_NAME_MATCH,J-Quants equities master
U33173,1383,JPX,13830,EXACT_COMPANY_NAME_MATCH,J-Quants equities master
U33174,1384,JPX,13840,EXACT_COMPANY_NAME_MATCH,J-Quants equities master
U33175,138A,JPX,138A0,EXACT_COMPANY_NAME_MATCH,J-Quants equities master
U33176,1401,JPX,14010,EXACT_COMPANY_NAME_MATCH,J-Quants equities master
U33177,1407,JPX,14070,EXACT_COMPANY_NAME_MATCH,J-Quants equities master
U33178,1417,JPX,14170,EXACT_COMPANY_NAME_MATCH,J-Quants equities master
U33179,1418,JPX,14180,EXACT_COMPANY_NAME_MATCH,J-Quants equities master
U33180,1419,JPX,14190,EXACT_COMPANY_NAME_MATCH,J-Quants equities master
U33181,141A,JPX,141A0,EXACT_COMPANY_NAME_MATCH,J-Quants equities master
U33182,1420,JPX,14200,EXACT_COMPANY_NAME_MATCH,J-Quants equities master
U33183,1429,JPX,14290,EXACT_COMPANY_NAME_MATCH,J-Quants equities master
U33184,142A,JPX,142A0,EXACT_COMPANY_NAME_MATCH,J-Quants equities master
U33185,1430,JPX,14300,EXACT_COMPANY_NAME_MATCH,J-Quants equities master
U33186,1431,JPX,14310,EXACT_COMPANY_NAME_MATCH,J-Quants equities master
U33187,1433,JPX,14330,EXACT_COMPANY_NAME_MATCH,J-Quants equities master
U33188,1434,JPX,14340,EXACT_COMPANY_NAME_MATCH,J-Quants equities master
U33189,1435,JPX,14350,EXACT_COMPANY_NAME_MATCH,J-Quants equities master
U33190,1436,JPX,14360,EXACT_COMPANY_NAME_MATCH,J-Quants equities master
U33191,1438,JPX,14380,EXACT_COMPANY_NAME_MATCH,J-Quants equities master
U33192,143A,JPX,143A0,EXACT_COMPANY_NAME_MATCH,J-Quants equities master
U33193,1443,JPX,14430,EXACT_COMPANY_NAME_MATCH,J-Quants equities master
U33194,1444,JPX,14440,EXACT_COMPANY_NAME_MATCH,J-Quants equities master
U33195,1446,JPX,14460,EXACT_COMPANY_NAME_MATCH,J-Quants equities master
U33196,1447,JPX,14470,EXACT_COMPANY_NAME_MATCH,J-Quants equities master
U33197,1450,JPX,14500,EXACT_COMPANY_NAME_MATCH,J-Quants equities master
U33198,145A,JPX,145A0,EXACT_COMPANY_NAME_MATCH,J-Quants equities master
U33199,146A,JPX,146A0,EXACT_COMPANY_NAME_MATCH,J-Quants equities master
U33200,147A,JPX,147A0,EXACT_COMPANY_NAME_MATCH,J-Quants equities master
U33201,148A,JPX,148A0,EXACT_COMPANY_NAME_MATCH,J-Quants equities master
U33202,1491,JPX,14910,EXACT_COMPANY_NAME_MATCH,J-Quants equities master
U33203,149A,JPX,149A0,EXACT_COMPANY_NAME_MATCH,J-Quants equities master
U33204,150A,JPX,150A0,EXACT_COMPANY_NAME_MATCH,J-Quants equities master
U33205,1514,JPX,15140,EXACT_COMPANY_NAME_MATCH,J-Quants equities master
U33206,1515,JPX,15150,EXACT_COMPANY_NAME_MATCH,J-Quants equities master
U33207,1518,JPX,15180,EXACT_COMPANY_NAME_MATCH,J-Quants equities master
U33208,151A,JPX,151A0,EXACT_COMPANY_NAME_MATCH,J-Quants equities master
U33209,153A,JPX,153A0,EXACT_COMPANY_NAME_MATCH,J-Quants equities master
U33210,155A,JPX,155A0,EXACT_COMPANY_NAME_MATCH,J-Quants equities master
U33211,156A,JPX,156A0,EXACT_COMPANY_NAME_MATCH,J-Quants equities master
U33212,157A,JPX,157A0,EXACT_COMPANY_NAME_MATCH,J-Quants equities master
U33213,1605,JPX,16050,EXACT_COMPANY_NAME_MATCH,J-Quants equities master
